Upstream Regulators,8_vs_0,72_vs_8,120_vs_72,128_vs_120,144_vs_128,168_vs_144
ACTN4,-2,-2.449,0.563,2.449,-0.447,-1.342
IKK (complex),2.2,-0.854,-3.155,-0.506,0.08,2.442
ELL2,N/A,-3,-1,2.236,1,-2
CD28,-2.927,-1.927,1.311,2.853,0.215,N/A
SU6656,3.138,0.239,N/A,-3.138,1.066,1.633
LACTB,N/A,3.434,0.971,-2.804,N/A,2
G protein alpha i,-2.433,-1.591,1.628,2.331,1.127,0.093
N-acetyl-L-cysteine,1.682,1.566,1.228,-1.747,1.85,-1.115
CYLD-AS1,-1,-2.121,-1.279,2,-1.265,-1.508
FGF,-2.193,N/A,2.016,1.954,-1.539,-1.467
BHLHE40,-2.714,-1.848,-0.464,2.475,1.614,0.039
E2F2,N/A,-1.89,-3.106,0.447,1.166,2.537
DKK1,1.732,-0.45,-1.265,-1.657,1.695,2.345
valsartan,1.543,2.021,0.132,-1.701,1.777,1.969
dihydroartemisinin,1.969,2.618,0.374,-2.206,1.009,0.954
LCK,-1.964,-2.375,-0.246,2.2,-1.276,-1.066
HNF4G,N/A,1.732,0.775,-2.449,-1.342,2.828
HDAC,1.135,1.919,-2.218,-1.75,2.014,-0.086
DMH1,N/A,2.63,1.929,-2.425,0.762,1.342
TGFBR1,-1.828,-1.413,1.622,1.274,-0.913,-2.027
IFNA2,-0.563,N/A,3.592,-0.368,3.724,0.827
ALOX5,1.532,N/A,-4.585,0.955,N/A,2
ocifisertib,-2.236,-0.674,-1.051,2.155,-1.698,1.254
Mir122a/b,2.213,2.157,-0.673,-2.213,1.803,N/A
forskolin,-2.641,-1.49,-0.269,2.438,-1.046,-1.141
IGF1R,-1.539,-0.881,1.586,2.97,-0.693,-1.35
okadaic acid,-2.547,-1.316,1.312,2.164,-1.605,0.062
NLRP3,-0.94,0.948,1.041,0.479,-1.943,-3.646
MAPK9,-1.427,-1.881,0.137,2.089,-2.09,-1.366
eplerenone,2.2,N/A,N/A,-2.399,2.2,2.181
ATF2,-2.172,-0.758,0.789,2.774,-0.836,-1.625
VTN,-2.074,-0.96,-0.453,2.413,-2.025,-1.027
metformin,1.374,1.651,1.593,-2.553,1.254,0.517
TAL1,N/A,-1.127,-2.286,1.265,0.817,3.444
ETV6-RUNX1,1.897,2.366,1.035,-1.829,-0.912,-0.899
CTNNB1,-1.882,-2.258,-0.515,2.331,-0.111,-1.836
IKBKG,-2.714,-0.143,0.277,2.538,-1.486,-1.773
CD14,-2.599,-1.721,N/A,2.408,-2.201,N/A
TAF4,2.211,1.581,-1.217,-1.795,1.616,0.508
miR-146a-5p (and other miRNAs w/seed GAGAACU),N/A,2.02,0.885,-2.579,-0.691,-2.747
ESR2,-0.917,-3.443,-1.03,3.052,0.293,0.18
NFkB (family),-1.519,-1.665,-1.484,3.091,-0.842,-0.291
PLG,-2.326,-1.869,-0.861,2.304,-1.528,N/A
FTO,-1.835,-0.54,1.562,2.354,-0.617,-1.969
MAOA,-2.414,-1.976,-0.618,2.777,-1.091,N/A
FGF7,-1.854,-0.332,-0.107,2.238,-2.891,-1.45
CAMP,-2.317,N/A,N/A,2.466,-1.824,-2.263
salirasib,2.449,0.629,0.792,-1.633,1.633,1.732
HMGXB4,-2.236,-2.333,1.508,1,-0.447,-1.342
activin (family),0.16,-1.955,0.944,2.195,1.127,-2.466
ATP7B,N/A,3.357,0.832,N/A,-2.53,-2.121
advanced glycation end-products,-2.405,-1.937,0.628,2.297,-1.014,-0.55
streptozocin,-1.842,-0.717,-0.532,2.909,-1.166,-1.66
naringenin,1.951,-0.266,1.774,-1.551,1.728,1.554
IL27,-3.097,-2.307,-0.054,2.809,0.158,0.398
H2AZ1,N/A,N/A,-2.891,1.408,-1.982,2.538
resiquimod,-2.336,0.486,1.594,2.206,-0.674,-1.501
berberine,2.42,N/A,-0.597,-2.472,0.624,2.682
CCL5,-1.982,-1.462,1.315,1.912,-0.478,-1.632
sulforafan,0.82,2.157,1.501,-0.241,-2.591,-1.463
kaempferol,1.98,1.501,0.696,-2.36,1.987,0.246
let-7a-5p (and other miRNAs w/seed GAGGUAG),N/A,2.22,1.445,-4.041,0.894,0.169
JUNB,-1.664,-3.586,-1.093,0.882,0.82,-0.695
resveratrol,2.072,1.225,2.216,-2.04,-0.408,-0.773
CSF3,-2.922,0.179,0.54,1.719,-1.663,-1.695
MED1,-2.414,0.155,-1.721,2.967,0.798,0.646
CD38,-2.456,-1.576,-0.73,3.199,0.736,N/A
PTGES,-2.193,-2.16,-0.674,2.193,-1.467,N/A
MAP3K14,-1.958,0.214,0.893,1.929,-1.68,-2.009
MAP2K5,-0.418,2.126,-0.396,0.428,-3.114,-2.196
crocidolite asbestos,N/A,-1.645,2.33,2.222,-1.136,-1.34
imipramine blue,N/A,1.113,3.2,-1.206,-1.274,-1.877
NR3C2,-2.4,-1.152,-0.861,1.285,0.183,-2.772
INSIG1,N/A,-3.525,1.281,-0.816,1.671,1.357
JAK1,-2.414,N/A,-0.397,2.949,-1.671,-1.201
ADAM12,-0.988,2.373,3.284,-0.558,0.443,-0.981
LIF,-2.292,-0.824,0.975,2.024,-1.303,-1.204
L-triiodothyronine,-0.624,1.11,0.038,1.324,-2.64,-2.885
4-phenylbutyric acid,2.13,2.349,0.708,-1.425,-0.582,1.408
EIF6,N/A,2.267,-2.556,1.633,-2.138,N/A
tamoxifen,0.859,0.879,1.914,-1.567,1.546,-1.829
HOXA4,1.995,0.031,-2.265,-0.894,1.069,2.338
PLAT,-1.895,-1.172,1.344,2.745,0.171,-1.264
imatinib,1.734,1.845,0.831,-3.034,1.052,0.087
GAST,-2.388,-1.11,0.547,2.87,-0.6,-1.057
mir-29 (includes others),2.409,1.891,-0.078,-2.269,0.29,1.63
KDM1A,0.089,-0.438,-3.039,0.756,1.822,2.417
KDM3A,-1.604,-2.694,0.28,2.78,-0.101,-1.093
puromycin aminonucleoside,N/A,-2.488,-2.907,1.897,N/A,1.257
CREM,-1.562,0.987,1.226,1.722,-3.052,N/A
triamterene,N/A,-2.673,-2.402,2.813,0.64,N/A
CCN2,-1.542,-1.556,-0.155,2.198,-0.039,-3.036
COP1,-1.992,1.474,0.03,1.6,-0.272,-3.156
troglitazone,2.332,0.369,2.484,-1.134,-0.346,-1.856
PTGS2,-1.964,-0.997,-1.004,1.454,-2.381,-0.72
SRC,-1.822,-2.379,-0.179,2.19,-0.475,-1.473
MAPK3,-2.571,-1.236,2.15,1.294,-1.263,N/A
carboplatin,N/A,-1.835,-2.915,1.974,-0.97,0.812
miR-1-3p (and other miRNAs w/seed GGAAUGU),N/A,2.331,2.017,-2.726,-0.141,1.286
PTHLH,-1.969,-2.079,-0.192,2.782,-0.388,-1.085
FGF10,-1.342,-0.276,-0.256,1.89,-3,-1.726
caffeic acid phenethyl ester,2.201,1.546,1.313,-2.201,-0.468,0.758
cocaine,-2.737,-0.149,1.431,2.366,-1.435,0.369
CREBBP,-2.436,-1.168,-0.115,2.764,-1.344,-0.659
fasudil,2.219,1.698,-0.221,-2.8,1.224,-0.311
NFIC,-1.89,-0.951,-1.574,2.111,-1.437,0.477
TP53,-2.372,-0.092,1.297,-0.302,-0.613,-3.753
MAPK8,-3.019,-0.927,0.815,2.287,-1.159,-0.186
SFTPA1,2.646,1,-0.875,-1.633,0.333,1.897
miR-204-5p (and other miRNAs w/seed UCCCUUU),N/A,0.452,2.025,-3.083,1.246,1.569
GLIS2,1.982,1.463,0.508,-1.982,N/A,2.433
S1PR1,-1.6,-1.989,0.816,1.46,0.501,-1.989
GDF9,-1.115,-2.718,-0.222,2.842,N/A,-1.455
miR-29b-3p (and other miRNAs w/seed AGCACCA),0.747,1.932,0.526,-2.004,0.451,2.691
BNIP3L,N/A,0.728,1.31,-1.89,-1,-3.422
2-bromoethylamine,N/A,-2.309,-2.574,2.813,-0.651,N/A
CXCL12,-2.256,-1.029,-0.704,1.73,-2.287,-0.339
phenylbutazone,N/A,-1.587,-2.231,1.782,0.8,1.941
SREBF1,-0.523,2.45,-0.444,0.455,-4.459,N/A
ZNF768,N/A,-0.956,-3.148,1.408,N/A,2.813
PRKACA,-1.982,-0.755,N/A,2.804,N/A,-2.778
HDL/cholesterol,2,-1.508,0.62,-1.134,3.051,N/A
hyaluronic acid,-2.076,-0.896,0.921,2.563,-1.685,-0.167
ID1,-1.98,-0.969,-3.097,1.896,-0.366,N/A
amphetamine,-2.184,-0.576,2.002,1.159,-1.025,-1.359
mono-(2-ethylhexyl)phthalate,N/A,1.894,4.038,N/A,-0.159,-2.212
miR-199a-5p (and other miRNAs w/seed CCAGUGU),1.387,1.898,0.015,-3.12,N/A,1.88
APEX1,-1.885,N/A,1.707,1,-2.804,-0.896
CCN1,-0.447,-3.033,-0.49,2.398,-0.135,-1.789
SND1,-1.982,-2,-2.412,1.897,N/A,N/A
MAP2K1/2,-2.067,-1.183,N/A,2.571,-0.864,-1.6
NOX1,-1.334,-0.57,N/A,2.183,-1.969,-2.213
colchicine,-1.969,-1.828,1.731,1.614,-0.928,0.19
cardiotoxin,N/A,-1.941,-2.858,2.449,-1,0
Scd2,N/A,N/A,-3.162,N/A,-2.646,-2.433
PTC-209,N/A,1.706,3.637,-1,0.64,-1.254
PDGFB,-2.392,-1.153,0.892,1.653,-1.689,-0.453
RAC1,-1.645,-0.778,-0.377,2.161,-1.823,-1.438
SREBF2,-0.106,0.939,-0.945,0.939,-3.65,-1.636
potassium chloride,N/A,0.32,3.099,0.853,-2.4,-1.539
lomustine,N/A,-2.673,-2.324,2.828,0.378,N/A
mir-8 (includes others),0.908,1.084,0.76,-2.668,1.098,1.675
ATF3,1.576,-1.773,0.469,0.223,3.092,1.05
CCNC,N/A,2.119,2.035,N/A,-1.605,-2.42
STING1,-2.401,N/A,0.898,2.058,1.5,1.322
SMARCA4,-2.613,1.318,1.254,0.266,-0.083,-2.643
CASR,-1.155,-0.995,-1.064,2.809,-0.611,1.536
miR-291a-3p (and other miRNAs w/seed AAGUGCU),N/A,2.346,1.461,-3.418,-0.139,-0.796
GRP,-1.014,-2.302,0.799,1.67,1.572,-0.795
"1,1-diarylethylene-diammonium derivative",N/A,2.236,3.771,N/A,1.897,-0.243
NME1,1.27,2.077,0.432,-1.356,1.875,1.135
amlexanox,1.067,1.923,0.632,-1.387,-1.212,1.912
STAG2,N/A,N/A,-3.492,N/A,-2.643,-1.997
plicamycin,1.826,-0.293,0.046,-2.021,2.589,1.355
IL1F10,-2.219,N/A,-0.251,2.219,-1.982,-1.455
miR-125b-5p (and other miRNAs w/seed CCCUGAG),N/A,1.667,1.435,-2.599,1.558,-0.867
FBN1,0.849,1.652,-0.556,-1.97,1.628,1.463
arsenic trioxide,0.661,-3.494,0.013,0.874,1.677,1.398
IL1RN,1.633,2.721,-0.752,-1.706,-1.291,N/A
N-nitro-L-arginine methyl ester,-2.109,-1.136,-1.367,1.706,-1.02,-0.764
MM-589,N/A,1.706,3.5,-1,0.64,-1.254
SLC22A5,-1,-2.333,-1.5,2,-0.447,-0.816
ZBTB18,N/A,N/A,2.576,-1.131,2.407,1.982
ZEB1,-0.587,-2.116,-2.512,1.073,-1.805,N/A
STAT1,0.217,N/A,1.268,0.743,3.554,2.308
4-methylnitrosoamino-1-(3-pyridinyl)-1-butanone,-1.23,-0.054,0.883,2.167,-2.193,-1.557
PARP1,-2.409,-1.821,1.113,2.327,-0.165,-0.246
prexasertib,-1.897,-0.728,2.4,1.265,-1.155,-0.632
miR-21-5p (and other miRNAs w/seed AGCUUAU),1.539,-0.886,0.564,-1.855,1.787,1.443
IL33,-1.258,-0.555,-1.488,2.041,-1.638,-1.088
lithium chloride,-1.773,-1.672,-0.286,2.408,0.093,-1.82
BCR (complex),-2.048,-0.874,2.648,2.354,0.09,0.022
Ro31-8220,1.452,2.011,N/A,-2.187,2.38,N/A
daporinad,-2,-0.333,3.007,1.414,0,-1.265
BAPTA,2,1.664,-0.896,-2.433,1,N/A
CLEC4G,-1.633,-0.362,1.961,0.239,-1.89,-1.89
tempol,2.219,1.348,0.088,-1.369,2.219,0.728
DDX5,0.567,N/A,3.692,-0.942,2.76,N/A
tretinoin,-1.527,-0.235,0.651,1.819,-0.615,-3.112
KMT2D,N/A,-2.342,-1.88,2.062,-1,-0.658
miR-27a-3p (and other miRNAs w/seed UCACAGU),N/A,0.469,-1.614,-2.596,0.31,2.951
PIK3CG,-1.103,N/A,-1.799,1.948,-3.086,N/A
BAG1,-0.762,-2.778,1.414,2.219,N/A,-0.762
TBK1,-2,N/A,-0.121,2.543,-1.926,-1.342
SMARCAL1,N/A,2.132,-1.441,N/A,-4.359,N/A
NOX4,-2,-0.314,-1.135,1.406,-2.409,-0.668
NOTCH3,-1.414,-0.122,1.337,1.602,-1.893,-1.556
CPT1B,-1.414,-0.837,-2.464,1.414,0.359,1.436
CNR1,-2.343,-0.065,N/A,1.474,-2.013,-2.027
HBEGF,-1.556,-1.529,0,1.026,-2.18,-1.604
niacinamide,-1.432,N/A,1.261,1.373,-2.157,-1.635
FDI6,N/A,1.14,2.656,-1.993,0,-2.067
roscovitine,1.701,0.91,-0.692,-1.633,-1.276,1.641
tert-butyl-hydroquinone,-2.201,-1.517,-0.445,1.772,-0.856,-1.057
LPAR1,-1.446,-1.644,0.588,1.969,-2.2,N/A
mir-503 (includes others),N/A,1.98,1.97,-2.397,0.994,0.506
BCL6,1.725,0.551,0.6,-2.989,1.286,0.696
GDF2,-1.387,-1.8,-1.503,1.985,-0.358,-0.808
MAPK14,-2.228,-1.365,0.062,2.264,-1.118,0.801
miR-503-5p (miRNAs w/seed AGCAGCG),N/A,2.066,1.824,-1.949,-1.387,-0.61
NTRK2,0.728,-1.457,-2.63,0.951,0.87,1.189
RARA,0.51,-1.415,-2.108,0.23,1.977,1.581
NOG,N/A,1.773,1.139,-2.621,0.286,1.982
TO-901317,2.195,2.942,-0.704,0.131,-1.821,N/A
phosphate,-2.236,0.462,1.211,1.123,-1.269,-1.477
atorvastatin,0.616,2.46,0.876,-1.593,-1.743,-0.488
fenamic acid,N/A,-2.623,-2.346,2.804,0,N/A
mir-30 (includes others),1.132,2.302,1.371,-2.126,N/A,-0.842
DUSP5,2,1.134,N/A,-1,1.633,2
PI3K (family),-1.741,-0.784,-0.034,1.666,-2.45,-1.092
HDAC5,-0.152,1.556,1.6,-2.611,-0.378,-1.466
ursolic acid,1.124,1.862,1.814,-1.592,0.93,-0.44
E. coli lipopolysaccharide,-2.535,N/A,N/A,3.057,-2.169,N/A
pioglitazone,2.968,0.848,1.047,-1.448,0.7,0.743
AICAR,1.804,1.185,0.274,-2.634,0.596,1.249
RET,-2.449,-0.65,-0.072,1.912,-1.89,-0.764
SMAD4,-0.705,-1.206,1.032,1.016,-1.304,-2.472
Tcf7,0.427,2.237,1.184,-2.413,1.204,-0.266
SPRING1,N/A,3.554,-1.384,N/A,-2.784,N/A
miR-34a-5p (and other miRNAs w/seed GGCAGUG),0.464,1.091,1.628,-2.375,-0.394,-1.757
PSME3,N/A,2.213,0.854,N/A,-2.213,-2.425
panobinostat,-0.884,0.922,1.125,0.788,-2.211,-1.772
thapsigargin,-0.804,-2.079,0.401,2.087,-0.076,-2.23
TERT,-2.223,-0.543,0.692,1.6,1.003,1.603
indomethacin,-1.248,-2.255,-0.287,2.05,-0.658,1.16
H-7,1.953,N/A,-1.27,-2.412,1.544,0.479
MEK,-3.022,-0.028,0.609,2.039,-1.353,-0.606
BMP7,-0.332,-2.226,0.132,2.557,-0.94,-1.469
arachidonic acid,-1.357,-2.574,1.496,1.382,0.004,-0.838
TNFRSF1B,-1.316,-1.769,N/A,2.193,-2.359,N/A
TNKS1BP1,1.934,-0.556,-0.499,0.208,2.137,2.303
CEBPE,N/A,2.02,N/A,-1.363,-2.621,-1.633
IL18,-1.754,-2.24,N/A,2.866,-0.771,N/A
paraquat,-0.577,-1.08,-0.985,2.63,-2.236,-0.112
ROCK,-1.718,-1.961,0.913,2.213,-0.57,0.239
butyric acid,1.874,0.782,1.665,-1.996,-0.607,-0.688
SYVN1,N/A,-1.151,-0.214,3.357,-0.366,-2.524
tunicamycin,-0.552,-3.07,0.316,1.206,0.966,-1.498
ELK1,-2.066,-0.542,1.441,1.911,-1.63,-0.017
PNPT1,N/A,N/A,-3.3,N/A,-2.714,-1.588
LH,-2.909,-0.055,0.431,1.78,-2.001,-0.419
STAT1/3/5 dimer,-2.219,-0.64,-0.102,2.63,-2,N/A
APP,-1.303,-2.029,0.797,2.195,-0.224,1.033
growth hormone,-1.979,0.459,0.189,2.195,-0.607,-2.148
PRL,-1.405,-0.182,-0.816,3.844,0.733,-0.582
isobutylmethylxanthine,-2.024,0.291,-0.685,1.476,-2.297,-0.787
adenosine triphosphate,-0.863,-1.908,-0.52,2.409,-1.34,-0.518
SOCS3,1.832,2.107,-1.392,-1.78,-0.444,N/A
BBP-398,2.646,-0.447,-2.449,-2,0,N/A
IL10RA,-1.664,N/A,0.078,0.653,-1.8,-3.346
MIF,-1.237,-1.767,-0.797,2.191,-0.908,-0.638
ILK,-1.689,-1.301,-0.388,2.766,-0.933,-0.458
osimertinib,N/A,0.465,-2.759,-0.555,1.795,1.961
docosahexaenoic acid,1.896,0.874,0.14,-2.308,1.32,0.987
APOE,1.728,-0.55,0.248,-1.995,1.377,1.626
CX3CL1,-2.236,0.359,1.706,1.414,-1.728,-0.074
milademetan,N/A,2.433,2.63,N/A,N/A,-2.449
C5,-2.046,-1.444,-0.689,1.335,-0.905,-1.08
ITGA11,-1.067,-0.97,-1.258,1.195,-1.982,-1.011
IFN,-1.342,N/A,1.659,0.557,2.108,1.813
ZFTA-RELA,-2,-1.508,0.258,3,N/A,-0.707
Cdc42,2,1.527,-0.155,-2.887,0.333,0.57
IL24,-1.982,-1.49,1.5,0.156,0.378,-1.964
gentamicin C,N/A,-2.138,-2.5,2.828,0,N/A
arsenite,-1.165,-1.773,1.767,1.477,-0.917,-0.345
triamcinolone acetonide,1.147,-1.324,-0.382,-1.295,2.626,0.669
GHRL,-1.131,1.519,N/A,1.732,-3.052,N/A
telmisartan,1.912,1.258,-0.153,-1.463,0.426,2.219
IGFBP5,-2.429,-1.15,0.012,1.807,-0.928,-1.085
dasatinib,N/A,2.267,-0.561,-1.659,0.874,2.039
TWF1,1,-1.387,-1.25,-1.134,-0.492,2.135
IgG,-0.752,-1.001,1.635,0.502,-1.891,-1.602
trovafloxacin,-2.714,0,0.426,2.449,-1.508,-0.258
chrysotile asbestos,N/A,-2.177,-3.102,N/A,-1.103,0.97
ATM,-1.3,-1.894,-0.769,1.546,1.355,0.487
miR-3648 (miRNAs w/seed GCCGCGG),N/A,1.005,-0.486,-2.36,1.069,2.429
PCDH11Y,N/A,-1.195,1.912,1.664,-0.152,-2.425
S-nitroso-N-acetyl-DL-penicillamine,N/A,-0.912,2.539,0.552,-2.753,-0.58
sorafenib,2.149,-0.304,-0.6,-2.17,1.192,0.92
ADRB,-1.405,-0.748,0.995,1.614,0.881,-1.69
SALL4,N/A,0.562,-2.526,-2.099,0.07,2.072
HSF1,-0.958,-0.815,-0.387,3.36,0.119,-1.677
KDM5A,N/A,-0.475,-4.596,-1.449,0.437,0.357
STAT5B,-2.533,-0.457,0.659,1.99,0.495,-1.157
SIX2,N/A,0.5,1.4,-1.89,-0.816,-2.668
MYF6,1.718,1.395,-2.168,-1.982,N/A,N/A
CD36,-1.026,-0.24,-0.279,1.976,-1.411,-2.327
NKX2-3,0.098,-1.623,-3.6,-0.047,-1.732,-0.158
trinitrobenzenesulfonic acid,-1.949,-2.066,N/A,3.243,N/A,N/A
CpG oligonucleotide,-2.621,N/A,0.366,2.905,-1.129,-0.222
mir-140,N/A,1.993,0.962,-2.222,1.707,0.351
TNFSF12,N/A,-2.325,-2.243,2.285,N/A,0.378
5-fluorouracil,-0.79,1.207,N/A,0.907,-2.79,-1.536
mir-802,N/A,2.828,2.056,-2.345,N/A,N/A
TGFB2-AS1,N/A,2,2.204,-2.931,-0.083,N/A
FOXP3,1.131,1.028,1.356,-0.679,0.508,-2.515
KDM3B,N/A,0,1.043,-2.111,2.449,-1.604
desoxycorticosterone,-1.981,-1.261,N/A,1.981,N/A,-1.981
RAB7A,1,1,-2.035,-1.342,-0.853,0.971
NPR1,2.392,N/A,-0.247,-2.258,1.514,0.79
FBXO32,1.387,0.073,0.249,-2.157,1.599,-1.736
VDR,-0.078,-0.287,-1.897,1.609,-0.149,3.18
GFI1,1.914,2.131,0.094,-2.144,-0.163,0.749
CLPP,N/A,-2.813,-4.374,N/A,N/A,N/A
CD40,-2.036,N/A,1.61,2.809,-0.28,-0.438
Ttc39aos1,N/A,N/A,-2.308,N/A,-2.991,-1.873
EIF4EBP1,1.968,0.164,-0.184,-1.307,1.904,1.643
L-arginine,N/A,-0.45,-2.309,1.303,-2.267,0.838
OGT,-1.606,-0.949,-1.405,1.957,-0.19,1.06
HIVEP1,2,1.508,0.714,-2.236,0.707,N/A
"phorbol 12,13-dibutyrate",-1.525,-1.385,0.782,2.195,0.156,-1.112
U73122,N/A,2.425,1.588,-2.207,N/A,0.933
"pregna-4,17-diene-3,16-dione",1.982,N/A,-1.31,-1.91,0.762,1.172
hexachlorobenzene,N/A,-1.941,-2.168,2.646,-0.378,N/A
collagenase,-2.236,N/A,N/A,2.449,-0.447,-2
maslinic acid,1.912,0.923,-0.303,-1.765,1.555,0.664
TREX1,N/A,N/A,-2.254,N/A,-3.182,-1.685
lapatinib,0.842,1.78,-1.029,-1.572,0.659,-1.238
CBFB,N/A,-0.676,2.525,1.698,N/A,-2.219
IRF5,N/A,N/A,2.175,-0.579,2.179,2.178
elaidic acid,N/A,3.108,-1.279,N/A,-2.72,N/A
rottlerin,1.236,1.72,-0.434,-1.852,0.836,-1.027
SNAI1,-1.187,-0.613,-1.949,1.145,-0.911,-1.3
miR-143-3p (and other miRNAs w/seed GAGAUGA),N/A,0.552,2.626,-1.949,0.739,-1.234
zerumbone,1.98,N/A,-0.881,-1.982,0.555,1.698
BDNF,-1.353,-0.527,1.329,0.401,-1.95,-1.534
HDAC2,-0.495,2.294,0.971,-1.941,-1.155,-0.229
RPTOR,0.447,2.731,-1.564,-0.038,-2.302,N/A
TCF/LEF,N/A,-2.146,-0.591,2.367,-0.549,-1.413
HTT,N/A,-0.385,-2.822,1.286,-1.648,0.923
L-glutamic acid,-1.952,0.069,-0.333,1.974,-1.31,-1.425
PRRX1,N/A,-1.545,-0.862,1.24,-1.432,-1.982
MKKS,N/A,0.302,-2.309,N/A,-2,2.449
mir-27 (includes others),N/A,-1.704,-0.95,-0.657,0.9,2.847
KRAS,-2.12,-1.812,0.753,1.379,-0.929,0.064
tetrachlorodibenzodioxin,-1.423,-1.904,1.492,1.15,0.284,-0.79
EIF4E,-2.363,0.09,-0.296,2.543,-0.544,1.204
sodium arsenite,1.327,0.742,-0.628,-1.609,-2.088,0.639
ABL1,-1.563,N/A,0.173,2.357,-1.097,-1.828
nitrofurantoin,N/A,-2.194,-1.807,2.36,N/A,0.655
25-hydroxycholesterol,-1.026,-2.237,0.451,1.497,1.659,-0.131
CHRM1,-1.981,-0.831,2.207,N/A,-1.981,N/A
mir-210,N/A,2.764,-0.481,-2.764,0.529,-0.458
ACKR2,N/A,N/A,-2.309,N/A,-2.449,-2.236
LMNA,1.067,0,1.073,-1.89,0.956,-2.003
ITGA5,-1.741,-1.387,-0.631,1,-1.331,-0.896
ABCA1,1.951,1.05,N/A,-2.401,1.58,N/A
SCD,1.673,1.899,-0.422,-1.826,-0.203,0.958
5-O-mycolyl-beta-araf-(1->2)-5-O-mycolyl-alpha-araf-(1->1')-glycerol,-2.449,-1.606,0.469,2.121,-0.333,N/A
BMP4,0.697,-1.192,-1.676,2.399,-0.33,-0.682
N-acetylsphingosine,-1.078,-1.053,1.25,1.746,N/A,-1.835
TICAM1,-3.278,N/A,0.496,2.942,0.246,N/A
DRD2,-2.217,-0.839,1.589,1.909,-0.404,N/A
KDM8,N/A,-0.804,-2.879,1.387,0.981,0.905
carbon monoxide,1.942,0.218,-1.039,-1.664,-0.839,1.253
FOXL2,N/A,-0.253,2.811,0.492,-1.192,-2.2
cerivastatin,1.987,1.666,1.213,-1.968,0.113,N/A
molybdenum disulfide,-0.707,-0.926,-0.397,-2.496,-0.229,2.191
AMFR,N/A,2.828,-1.667,N/A,-2.449,N/A
camptothecin,-1.81,-1.277,1.184,0.29,1.362,1.01
GLI2,-0.519,N/A,-1.486,2.344,-0.881,-1.698
USP1,N/A,-1.998,-0.036,1.715,-1.203,-1.976
ITGB1,-2.285,-1.192,-1.325,0.962,-0.184,0.976
PTGER4,1.044,-0.427,-3.979,0.553,-0.427,0.48
NDUFA13,N/A,1.671,2.484,N/A,-1.231,-1.522
mycophenolic acid,-0.707,-1,1,1.286,-2.333,0.578
MYB,N/A,-2.244,-1.975,2.021,0.533,-0.131
GPS2,2.401,1.762,0.803,-0.946,-0.218,0.765
TRAF3IP2,-1.941,N/A,N/A,2.934,-2.019,N/A
thalidomide,1.698,1.754,-0.441,-1.664,-0.239,1.095
EGR3,1.063,0.404,2.486,-0.555,1.508,-0.874
selinexor,N/A,2.433,2.183,N/A,-0.594,-1.673
FABP3,1.432,0.346,1.18,-2.02,1.59,-0.314
FGF21,1.283,1.389,1.522,-1.207,-1.477,N/A
POU2F2,-1.671,N/A,0.492,2.137,-1.041,-1.524
FOXO1,-0.729,0.187,-1.713,1.736,-2.15,0.348
DACH1,1.195,0.042,-2.902,-1,0.447,1.276
LEP,-1.382,-1.079,-1.325,1.945,-0.882,-0.241
IRF3,N/A,N/A,1.939,N/A,2.313,2.583
ISLR,N/A,-2.223,1.064,2.578,N/A,-0.96
DLX1,N/A,-1.546,-1.674,1.664,0,-1.941
eflornithine,N/A,0.745,2.374,-0.344,-1.557,-1.803
ROR1,N/A,-1.723,-0.398,2.121,-2.236,-0.333
26S proteasome,0.8,-1.338,-1.433,0.201,1.058,1.972
TRIM38,N/A,1.396,1.31,-2.828,1.265,N/A
BCL3,1.293,N/A,0.739,0.871,1.488,-2.407
GH1,-2.18,-1.129,-0.093,1.854,-0.47,1.069
peptidoglycan,-1.932,N/A,0.472,2.354,-2.035,N/A
TP63,-1.962,-0.6,0.728,2.609,-0.237,-0.656
topotecan,1.499,0.668,1.678,-1.974,0.475,0.493
OSM,-1.667,-1.542,-0.055,1.977,-0.523,-1.022
AR,-1.558,-0.21,-2.424,1.224,-1.019,-0.33
ERBB4,0.128,-1.41,1.154,2.543,-0.102,-1.42
AGN194204,0,-0.846,-0.985,2.173,0.684,-2.065
CAMK4,-1.067,-1.4,-0.273,2.619,-1.387,N/A
POU5F1,-2.711,-1.203,-0.113,1.356,1.232,-0.129
olaparib,-1.904,0.813,-1.104,1.706,-0.862,0.348
MAP3K5,N/A,-1.595,1.448,1.956,-0.579,-1.157
MMP1,-1.49,-2.284,0.115,1.834,-0.534,-0.477
PAX7,N/A,-1.42,-2.713,N/A,-2,-0.6
nitric oxide,-0.765,-0.769,0.978,2.138,-1.652,-0.423
PRKCD,-1.895,0.089,0.356,1.807,-1.668,0.901
celecoxib,1.728,1.882,0.351,-1.476,-0.014,1.258
XBP1,N/A,-3.125,-0.864,N/A,N/A,-2.715
LCN2,N/A,N/A,-1.246,3.286,-1.938,0.229
miR-338-3p (miRNAs w/seed CCAGCAU),N/A,1.05,0.993,-2.574,-0.236,1.845
MYOD1,1.496,2.155,0.858,1.06,0.188,0.938
3-methyladenine,N/A,-1.231,0.846,1.406,-0.817,-2.392
piceatannol,1.977,N/A,-0.126,-2.408,0.463,1.715
RETNLB,N/A,-1.343,-2.383,1.511,-1.342,0.102
CDK19,1.463,-1.243,-0.762,1.599,1.175,0.437
NFKBIA,-2.301,-0.154,-1.048,0.848,-1.005,1.323
